Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-7,10513.834922,20.406586125666898
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-6,34341.8667396,72.56401331796918
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-5,46875.950547,100
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-4,42220.5274058,89.80969576525625
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,0,1265.6149712,0
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-13,1419.2315666,0.26856440344410204
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-12,1738.9063756,0.8274446087477035
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-11,1428.2612168,0.2843507357277815
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-10,1775.1926726,0.8908831173386865
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-9,1367.27469,0.17772937658672505
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-8,2009.1081402,1.299832214594504
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-7,10834.0065586,16.72820161062914
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-6,42408.4111814,71.92901581657253
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-5,58464.779652,100
10,HIRa.R029,HIRa3,46427.7518118,2022_05_11,1e-4,42995.7687778,72.95587975711739
1,FLRNa.R026,FLRNa,,2021_07_28,0,673.2995478,0
1,FLRNa.R026,FLRNa,,2021_07_28,1e-13,359.5389822,-3.3219958556092326
1,FLRNa.R026,FLRNa,,2021_07_28,1e-12,604.2767873,-0.7307907667913404
1,FLRNa.R026,FLRNa,,2021_07_28,1e-11,301.6894428,-3.9344881545321635
1,FLRNa.R026,FLRNa,,2021_07_28,1e-10,451.5381703,-2.3479380704851542
1,FLRNa.R026,FLRNa,,2021_07_28,1e-9,695.2812405,0.23273508545930388
1,FLRNa.R026,FLRNa,,2021_07_28,1e-8,1475.940526,8.498104272675816
1,FLRNa.R026,FLRNa,,2021_07_28,1e-7,4321.550177,38.626503133847535
1,FLRNa.R026,FLRNa,,2021_07_28,1e-6,10118.24106,100
1,FLRNa.R026,FLRNa,,2021_07_28,1e-5,7245.072602,69.57981736267251
