Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
10,GPR29.all,HIRa5,1403.160686,1814.9085048,1815.3140584,1446.9606296,1462.1427552,1678.9970076,1745.8436508,3310.0438664,23199.6318288,38976.46295,37081.6962328,33675.96316,2022.05.11
1,GPR29.all,HIRa3,358.6396338,217.4831932,507.077448,526.3922116,346.3375468,420.6460804,419.862014,1654.006608,14890.35567,25382.16849,21742.96711,,2021.07.28
2,GPR29.all,HIRa3,360.8135466,365.2159878,274.0330292,257.7707646,528.0896856,454.521765,510.3313976,1743.423054,18577.03772,25753.94765,21352.58427,,2021.07.28
3,GPR29.all,HIRa3,542.4165436,290.7077632,290.3607112,400.642308,256.833564,400.5761408,438.2214788,2200.538431,13761.14259,19941.62039,14753.38337,,2021.07.28
4,GPR29.all,HIRa3,142.3658592,,107.917656,250.298328,663.2967964,826.717364,681.4160324,4531.962303,13585.26501,13700.48851,11521.89759,,2021.04.28
5,GPR29.all,HIRa3,392.5727236,,268.7981536,286.9286656,305.6588028,357.8286332,1062.148034,5227.115969,12121.44438,12533.53007,9645.760198,,2021.04.28
6,GPR29.all,HIRa3,250.0923656,,107.2664856,288.4140304,287.1230904,502.5083288,950.7966896,1985.856804,3438.182754,3273.991262,3745.037447,,2021.04.28
7,GPR29.all,HIRa3,337.555128,,322.1537856,323.3077472,232.969272,357.614176,825.9700752,3584.911661,2394.628825,3404.894097,2544.137075,,2021.04.28
8,GPR29.all,HIRa3,1520.0004828,1195.400177,1347.0299738,1538.0380268,2039.2942228,1917.1148514,2060.3213344,7692.4895146,29609.1691296,37888.9046732,27212.9391502,28766.1100964,2022.05.11
9,GPR29.all,HIRa3,1191.1207916,1525.9176422,1786.7958586,1577.2229062,1638.9592544,2341.1873828,2744.9972522,10513.834922,34341.8667396,46875.950547,42220.5274058,47639.3574418,2022.05.11
10,GPR29.all,HIRa3,1265.6149712,1419.2315666,1738.9063756,1428.2612168,1775.1926726,1367.27469,2009.1081402,10834.0065586,42408.4111814,58464.779652,42995.7687778,46427.7518118,2022.05.11
